,Date,Date_local,pool_price,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday
4809,2022-07-20 08:00:00+00:00,2022-07-20 10:00:00+02:00,433.7674999999999,10,-0.917211301505453,0.3984010898462414,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4810,2022-07-20 09:00:00+00:00,2022-07-20 11:00:00+02:00,334.921,11,-0.9906859460363306,0.1361666490962471,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4811,2022-07-20 10:00:00+00:00,2022-07-20 12:00:00+02:00,331.644,12,-0.9906859460363308,-0.1361666490962464,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4812,2022-07-20 11:00:00+00:00,2022-07-20 13:00:00+02:00,342.0695,13,-0.9172113015054529,-0.39840108984624156,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4813,2022-07-20 12:00:00+00:00,2022-07-20 14:00:00+02:00,345.767,14,-0.7757112907044198,-0.6310879443260528,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4814,2022-07-20 13:00:00+00:00,2022-07-20 15:00:00+02:00,416.72999999999996,15,-0.5766803221148672,-0.816969893010442,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4815,2022-07-20 14:00:00+00:00,2022-07-20 16:00:00+02:00,463.9565,16,-0.3348796121709864,-0.9422609221188204,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4816,2022-07-20 15:00:00+00:00,2022-07-20 17:00:00+02:00,551.4639999999999,17,-0.06824241336467046,-0.9976687691905393,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4817,2022-07-20 16:00:00+00:00,2022-07-20 18:00:00+02:00,636.695,18,0.2034560130526333,-0.979084087682323,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4818,2022-07-20 17:00:00+00:00,2022-07-20 19:00:00+02:00,745.2855,19,0.4600650377311516,-0.8878852184023756,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4819,2022-07-20 18:00:00+00:00,2022-07-20 20:00:00+02:00,763.077,20,0.6825531432186541,-0.730835964278124,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4820,2022-07-20 19:00:00+00:00,2022-07-20 21:00:00+02:00,678.2085,21,0.8544194045464886,-0.5195839500354336,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4821,2022-07-20 20:00:00+00:00,2022-07-20 22:00:00+02:00,599.6764999999999,22,0.962917287347799,-0.2697967711570252,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4822,2022-07-20 21:00:00+00:00,2022-07-20 23:00:00+02:00,543.5034999999999,23,1.0,-2.4492935982947064e-16,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4823,2022-07-20 22:00:00+00:00,2022-07-21 00:00:00+02:00,487.2,0,1.0,0.0,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4824,2022-07-20 23:00:00+00:00,2022-07-21 01:00:00+02:00,476.673,1,0.9629172873477994,0.2697967711570243,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4825,2022-07-21 00:00:00+00:00,2022-07-21 02:00:00+02:00,481.82050000000004,2,0.8544194045464886,0.5195839500354336,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4826,2022-07-21 01:00:00+00:00,2022-07-21 03:00:00+02:00,486.7215,3,0.6825531432186541,0.730835964278124,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4827,2022-07-21 02:00:00+00:00,2022-07-21 04:00:00+02:00,474.498,4,0.4600650377311522,0.8878852184023752,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4828,2022-07-21 03:00:00+00:00,2022-07-21 05:00:00+02:00,484.3,5,0.20345601305263375,0.9790840876823229,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4829,2022-07-21 04:00:00+00:00,2022-07-21 06:00:00+02:00,633.5775,6,-0.06824241336467088,0.9976687691905392,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4830,2022-07-21 05:00:00+00:00,2022-07-21 07:00:00+02:00,716.126,7,-0.33487961217098616,0.9422609221188205,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4831,2022-07-21 06:00:00+00:00,2022-07-21 08:00:00+02:00,708.0495,8,-0.5766803221148671,0.8169698930104421,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4832,2022-07-21 07:00:00+00:00,2022-07-21 09:00:00+02:00,671.321,9,-0.7757112907044197,0.631087944326053,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4833,2022-07-21 08:00:00+00:00,2022-07-21 10:00:00+02:00,626.3275,10,-0.917211301505453,0.3984010898462414,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4834,2022-07-21 09:00:00+00:00,2022-07-21 11:00:00+02:00,552.5804999999999,11,-0.9906859460363306,0.1361666490962471,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4835,2022-07-21 10:00:00+00:00,2022-07-21 12:00:00+02:00,501.787,12,-0.9906859460363308,-0.1361666490962464,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4836,2022-07-21 11:00:00+00:00,2022-07-21 13:00:00+02:00,463.94199999999995,13,-0.9172113015054529,-0.39840108984624156,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4837,2022-07-21 12:00:00+00:00,2022-07-21 14:00:00+02:00,456.489,14,-0.7757112907044198,-0.6310879443260528,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4838,2022-07-21 13:00:00+00:00,2022-07-21 15:00:00+02:00,446.513,15,-0.5766803221148672,-0.816969893010442,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4839,2022-07-21 14:00:00+00:00,2022-07-21 16:00:00+02:00,488.76599999999996,16,-0.3348796121709864,-0.9422609221188204,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
4840,2022-07-21 15:00:00+00:00,2022-07-21 17:00:00+02:00,501.97549999999995,17,-0.06824241336467046,-0.9976687691905393,29,-0.9350162426854148,-0.3546048870425356,7,-0.8660254037844388,-0.4999999999999997,1
